model,n_labelled_inlines,n_seeds,iou_mean,iou_sd,dice_mean,dice_sd,prauc_mean,prauc_sd,per_seed_iou,note
3-D U-Net (from scratch),1,3,0.2045,0.1128,0.3259,0.1673,0.2665,0.1157,"0.075, 0.258, 0.280",seed 0 did not train (IoU 0.075); 2 trained seeds: IoU 0.269 ± 0.015
3-D U-Net (from scratch),3,3,0.3396,0.0143,0.5056,0.0154,0.4673,0.0272,"0.324, 0.342, 0.353",
3-D U-Net (from scratch),10,3,0.377,0.0036,0.5465,0.0038,0.5409,0.0174,"0.380, 0.378, 0.373",
3-D U-Net (from scratch),100,3,0.3957,0.0144,0.5656,0.0147,0.5832,0.0028,"0.409, 0.380, 0.398",
3-D U-Net (from scratch),900,3,0.3861,0.0026,0.5557,0.0026,0.5737,0.0148,"0.389, 0.385, 0.385",
DINOv3 + 3-D decoder,1,3,0.3246,0.0233,0.4887,0.0267,0.418,0.0132,"0.342, 0.298, 0.334",
DINOv3 + 3-D decoder,3,5,0.3714,0.0119,0.5407,0.0126,0.5194,0.0194,"0.366, 0.380, 0.386, 0.356, 0.369",
DINOv3 + 3-D decoder,10,3,0.391,0.0148,0.5612,0.0153,0.5678,0.0179,"0.392, 0.405, 0.376",
DINOv3 + 3-D decoder,100,3,0.4034,0.0088,0.5739,0.009,0.5937,0.0031,"0.401, 0.396, 0.413",
DINOv3 + 3-D decoder,900,3,0.4083,0.0065,0.5787,0.0066,0.5968,0.0072,"0.416, 0.405, 0.404",
DINOv3 + seismic I-JEPA + 3-D decoder,1,3,0.3613,0.0202,0.5295,0.0222,0.4578,0.0344,"0.380, 0.340, 0.364",
DINOv3 + seismic I-JEPA + 3-D decoder,3,5,0.3836,0.0178,0.5532,0.0186,0.5344,0.0206,"0.399, 0.355, 0.391, 0.377, 0.395",
DINOv3 + seismic I-JEPA + 3-D decoder,10,3,0.4149,0.0149,0.5856,0.0149,0.5979,0.0151,"0.410, 0.432, 0.403",
DINOv3 + seismic I-JEPA + 3-D decoder,100,3,0.413,0.0109,0.5837,0.011,0.6099,0.0087,"0.409, 0.405, 0.425",
DINOv3 + seismic I-JEPA + 3-D decoder,900,3,0.4143,0.0047,0.585,0.0047,0.6034,0.0025,"0.415, 0.419, 0.409",
